Player Name,Team,Games,Wins,Losses,OT Losses,Goals Against Average,Goals Against,Shots Against,Saves,Save%,Shutouts
Pheonix Copley,LAK,8,4,1,2,3.2,23,177,154,0.87,1
Arturs Silovs,VAN,4,3,0,1,2.5,10,84,74,0.881,0
Matt Tomkins,TBL,6,3,2,1,3.4,20,185,165,0.892,0
Jet Greaves,CBJ,9,3,6,0,3.5,30,327,297,0.908,0
Hunter Shepard,WSH,4,2,1,1,3.2,13,123,110,0.894,0
Jesper Wallstedt,MIN,3,2,1,0,3,9,87,78,0.897,1
Devin Cooley,CGY,6,2,3,1,5,25,192,167,0.87,0
Eric Comrie,WPG,10,2,7,0,3.7,32,254,222,0.874,0
Cal Petersen,PHI,5,2,2,0,3.9,18,132,114,0.864,0
Felix Sandstrom,BUF,5,1,2,0,3.9,17,96,79,0.823,0
Chris Driedger,FLA,2,1,1,0,2.5,5,60,55,0.917,0
Louis Domingue,NYR,1,1,0,0,1,1,26,25,0.962,0
Magnus Hellberg,DAL,3,1,0,0,2.5,5,64,59,0.922,0
Jack Campbell,DET,5,1,4,0,4.5,20,157,137,0.873,0
Magnus Chrona,NSH,9,1,6,1,4.8,37,262,225,0.859,0
Jiri Patera,BOS,6,1,3,1,4,21,196,175,0.893,0
Yaroslav Askarov,SJS,2,1,0,0,1.5,2,35,33,0.943,0
Mads Sogaard,OTT,6,1,3,0,4.1,19,135,116,0.859,0
Matt Murray,NSH,1,1,0,0,0,0,23,23,1,1
Yaniv Perets,CAR,1,0,0,0,0,0,1,1,1,0
Georgi Romanov,SJS,2,0,0,0,1,1,30,29,0.967,0
Ivan Fedotov,PHI,3,0,1,1,5,10,53,43,0.811,0
Michael Hutchinson,FA,1,0,1,0,3.2,3,36,33,0.917,0
Malcolm Subban,FA,1,0,1,0,3,3,35,32,0.914,0
Matt Villalta,UTA,2,0,1,0,4.2,5,29,24,0.828,0
Ken Appleby,FA,1,0,0,0,6,2,8,6,0.75,0
